<Token::Separator start=0, end=3>
<Token::MethodGet start=4, end=7>
<Token::Text start=8, end=29>
<Token::Separator start=30, end=33>
<Token::MethodHead start=34, end=38>
<Token::Text start=39, end=60>
<Token::Separator start=61, end=64>
<Token::MethodPost start=65, end=69>
<Token::Text start=70, end=91>
<Token::Separator start=92, end=95>
<Token::MethodPut start=96, end=99>
<Token::Text start=100, end=121>
<Token::Separator start=122, end=125>
<Token::MethodPatch start=126, end=131>
<Token::Text start=132, end=153>
<Token::Separator start=154, end=157>
<Token::MethodDelete start=158, end=164>
<Token::Text start=165, end=186>
<Token::Separator start=187, end=190>
<Token::MethodConnect start=191, end=198>
<Token::Text start=199, end=220>
<Token::Separator start=221, end=224>
<Token::MethodTrace start=225, end=230>
<Token::Text start=231, end=252>
<Token::Separator start=253, end=256>
<Token::MethodOptions start=257, end=264>
<Token::Text start=265, end=286>
<Token::EOF start=287, end=287>
