<Token::At start=0, end=1>
<Token::Ident start=1, end=5>
<Token::Eq start=6, end=7>
<Token::Text start=8, end=27>
<Token::At start=28, end=29>
<Token::Ident start=29, end=37>
<Token::Eq start=38, end=39>
<Token::Text start=40, end=45>
<Token::At start=46, end=47>
<Token::Ident start=47, end=54>
<Token::Eq start=55, end=56>
<Token::Text start=57, end=59>
<Token::At start=60, end=61>
<Token::Ident start=61, end=68>
<Token::Eq start=69, end=70>
<Token::OpenInterp start=71, end=73>
<Token::Ident start=74, end=78>
<Token::CloseInterp start=79, end=81>
<Token::Text start=81, end=82>
<Token::OpenInterp start=82, end=84>
<Token::Ident start=85, end=92>
<Token::CloseInterp start=93, end=95>
<Token::Text start=95, end=96>
<Token::OpenInterp start=96, end=98>
<Token::Ident start=99, end=107>
<Token::CloseInterp start=108, end=110>
<Token::EOF start=111, end=111>
