<Token::At start=0, end=1>
<Token::Ident start=1, end=5>
<Token::Eq start=6, end=7>
<Token::Text start=8, end=27>
<Token::At start=28, end=29>
<Token::Timeout start=29, end=36>
<Token::Eq start=37, end=38>
<Token::Text start=39, end=41>
<Token::Separator start=43, end=46>
<Token::At start=50, end=51>
<Token::Name start=51, end=55>
<Token::Text start=56, end=66>
<Token::At start=69, end=70>
<Token::Timeout start=70, end=77>
<Token::Text start=78, end=81>
<Token::At start=84, end=85>
<Token::ConnectionTimeout start=85, end=103>
<Token::Text start=104, end=107>
<Token::At start=111, end=112>
<Token::NoRedirect start=112, end=123>
<Token::At start=126, end=127>
<Token::Ident start=127, end=132>
<Token::Text start=133, end=137>
<Token::MethodPut start=138, end=141>
<Token::Text start=142, end=175>
<Token::HTTPVersion start=176, end=182>
<Token::Header start=183, end=195>
<Token::Colon start=195, end=196>
<Token::Text start=197, end=213>
<Token::Header start=214, end=220>
<Token::Colon start=220, end=221>
<Token::Text start=222, end=238>
<Token::Header start=239, end=255>
<Token::Colon start=255, end=256>
<Token::Text start=257, end=260>
<Token::Header start=261, end=274>
<Token::Colon start=274, end=275>
<Token::Text start=276, end=283>
<Token::OpenInterp start=283, end=285>
<Token::Ident start=286, end=291>
<Token::CloseInterp start=292, end=294>
<Token::Body start=296, end=454>
<Token::Separator start=454, end=457>
<Token::Comment start=458, end=462>
<Token::MethodPost start=463, end=467>
<Token::Text start=468, end=501>
<Token::Body start=503, end=530>
<Token::Separator start=530, end=533>
<Token::At start=536, end=537>
<Token::Ident start=537, end=546>
<Token::Eq start=547, end=548>
<Token::Text start=549, end=554>
<Token::At start=557, end=558>
<Token::Ident start=558, end=564>
<Token::Eq start=565, end=566>
<Token::OpenInterp start=567, end=569>
<Token::Ident start=570, end=579>
<Token::CloseInterp start=580, end=582>
<Token::At start=585, end=586>
<Token::Prompt start=586, end=592>
<Token::Ident start=593, end=595>
<Token::Text start=596, end=603>
<Token::At start=606, end=607>
<Token::Timeout start=607, end=614>
<Token::Eq start=615, end=616>
<Token::Text start=617, end=620>
<Token::At start=623, end=624>
<Token::ConnectionTimeout start=624, end=642>
<Token::Eq start=643, end=644>
<Token::Text start=645, end=648>
<Token::At start=651, end=652>
<Token::NoRedirect start=652, end=663>
<Token::MethodGet start=664, end=667>
<Token::Text start=668, end=687>
<Token::Separator start=689, end=692>
<Token::Comment start=693, end=724>
<Token::MethodPost start=725, end=729>
<Token::Text start=730, end=763>
<Token::Header start=764, end=776>
<Token::Colon start=776, end=777>
<Token::Text start=778, end=794>
<Token::LeftAngle start=796, end=797>
<Token::Text start=798, end=808>
<Token::Separator start=810, end=813>
<Token::MethodGet start=814, end=817>
<Token::OpenInterp start=818, end=820>
<Token::Ident start=821, end=825>
<Token::CloseInterp start=826, end=828>
<Token::Text start=828, end=836>
<Token::Separator start=838, end=841>
<Token::MethodGet start=842, end=845>
<Token::Text start=846, end=865>
<Token::Header start=866, end=872>
<Token::Colon start=872, end=873>
<Token::Text start=874, end=877>
<Token::Header start=878, end=890>
<Token::Colon start=890, end=891>
<Token::Text start=892, end=908>
<Token::Header start=909, end=918>
<Token::Colon start=918, end=919>
<Token::Text start=920, end=929>
<Token::Header start=930, end=943>
<Token::Colon start=943, end=944>
<Token::Text start=945, end=968>
<Token::EOF start=969, end=969>
