<Token::Separator start=0, end=3>
<Token::At start=6, end=7>
<Token::Ident start=7, end=16>
<Token::Eq start=17, end=18>
<Token::Text start=19, end=24>
<Token::At start=27, end=28>
<Token::Ident start=28, end=34>
<Token::Eq start=35, end=36>
<Token::OpenInterp start=37, end=39>
<Token::Ident start=40, end=49>
<Token::CloseInterp start=50, end=52>
<Token::At start=55, end=56>
<Token::Prompt start=56, end=62>
<Token::Ident start=63, end=65>
<Token::Text start=66, end=73>
<Token::At start=76, end=77>
<Token::Timeout start=77, end=84>
<Token::Eq start=85, end=86>
<Token::Text start=87, end=90>
<Token::At start=93, end=94>
<Token::ConnectionTimeout start=94, end=112>
<Token::Eq start=113, end=114>
<Token::Text start=115, end=118>
<Token::At start=121, end=122>
<Token::NoRedirect start=122, end=133>
<Token::MethodGet start=134, end=137>
<Token::Text start=138, end=157>
<Token::EOF start=158, end=158>
