<Token::Separator start=0, end=3>
<Token::At start=6, end=7>
<Token::Ident start=7, end=16>
<Token::Text start=17, end=22>
<Token::At start=25, end=26>
<Token::Ident start=26, end=32>
<Token::OpenInterp start=33, end=35>
<Token::Ident start=36, end=45>
<Token::CloseInterp start=46, end=48>
<Token::At start=51, end=52>
<Token::Prompt start=52, end=58>
<Token::Ident start=59, end=61>
<Token::Text start=62, end=69>
<Token::At start=72, end=73>
<Token::Timeout start=73, end=80>
<Token::Text start=81, end=84>
<Token::At start=87, end=88>
<Token::ConnectionTimeout start=88, end=106>
<Token::Text start=107, end=110>
<Token::At start=113, end=114>
<Token::NoRedirect start=114, end=125>
<Token::MethodGet start=126, end=129>
<Token::Text start=130, end=149>
<Token::EOF start=150, end=150>
